"indicator no.",grading,domain,Georgia,Latvia,Armenia,Azerbaijan,Kazakhstan,Uzbekistan,Tajikistan,Kyrgyzstan,Jordan,Egypt,Lebanon,Belarus,Mongolia,Mexico,Panama,"Costa Rica",Peru,Venezuela,Chile,Ecuador,Colombia,"Sierra Leone",Ghana,Tanzania,Gambia,Algeria,France,Bangladesh,Lithuania,Bulgaria,Austria,Hungary,Belgium,"Bosnia and Herzegovina",Slovakia,Sweden,Finland,Denmark,Ireland,Albania,Montenegro,Serbia,Greece,"North Macedonia",Turkey,Iceland,Portugal,Romania,Moldova,Italy,Netherlands,Ukraine,Spain,Nicaragua,Bolivia,Paraguay,Pakistan,Afghanistan,Turkmenistan,India,Nigeria,"South Africa",Senegal,Ethiopia,Kenya,Singapore,Taiwan,Brazil,"Czech Republic",Estonia,Poland,Vietnam,Nepal,Russia,"New Zealand",Zimbabwe,"Democratic Republic of the Congo",Malaysia,Timor-Leste,Argentina,Uruguay,"El Salvador",Philippines,Thailand,Myanmar,Uganda,Mozambique,Angola,Japan,Indonesia,"South Korea","Saudi Arabia",Qatar,Canada,Cambodia,"United States",Germany,"United Kingdom",Australia,Israel,"Sri Lanka"
13,1,"Foreign Policy",3,3,4,2,3,4,4,4,3,3,4,3,4,0,4,3,4,4,3,4,3,4,4,4,4,1,0,3,0,0,1,0,0,3,0,0,0,0,0,0,1,4,0,4,0,0,1,0,4,0,0,0,0,2,4,1,4,1,0,0,4,3,2,4,4,0,3,2,0,0,0,0,4,0,3,4,4,4,4,4,1,4,4,1,4,3,4,3,1,4,0,0,0,0,4,0,0,0,0,0,4
14,1,"Foreign Policy",0,1,1,0,0,3,1,0,0,1,3,0,3,3,2,4,4,4,3,4,0,4,4,4,4,2,0,0,0,3,0,0,0,3,0,0,0,0,0,1,1,1,0,0,2,0,2,0,1,0,0,0,0,0,1,0,4,2,4,0,4,3,0,4,4,3,0,0,0,0,0,3,4,1,0,4,na,1,1,1,3,0,4,4,0,3,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0
15,0,"Foreign Policy",0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,4,0,4,4,0,0
16,0,"Foreign Policy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,4,0,0,4,na,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,4,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,4,0,0,0,0,na,4,na,0,4,0,4,4,0,4,0,0,4,0,0,4,0
17,0,"Foreign Policy",4,0,0,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,0,4,4,0,0,4,4,0,0,4,4,0,4,0,4,0,0,4,0,0,4,4,4,0,4,0,4,0,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,0,4,4,4,4,0,4,4,0,0,4
18,0,"Foreign Policy",4,na,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,0,4,0,0,0,0,0,0,4,4,0,0,4,na,4,4,4,0,0,0,4,4,4,0,4,4,4,4,4,4,0,4,4,0,na,4,0,0,0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,4,0,4,0,0,0,0,0,4
19,1,"Foreign Policy",2,2,2,2,2,2,4,2,4,4,2,2,2,2,2,2,2,4,2,2,2,4,2,4,4,4,0,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,4,0,0,2,0,2,2,2,4,4,2,0,4,2,2,2,4,2,0,2,0,0,2,0,2,2,0,2,4,0,2,2,2,2,0,2,2,4,2,4,0,2,2,4,4,0,4,0,0,0,0,2,2
20,1,"Foreign Policy",2,2,0,2,4,4,4,4,4,4,4,4,4,2,2,2,2,4,2,2,2,4,2,4,2,4,0,4,0,2,0,2,2,0,2,0,0,0,0,0,0,4,2,0,na,0,0,2,2,0,0,0,0,4,4,2,4,4,4,2,4,2,4,4,2,2,0,2,0,0,0,2,4,2,0,4,4,2,4,2,2,2,2,2,2,4,4,4,0,2,2,4,4,0,4,0,0,0,0,0,2
21,1,"Foreign Policy",2,2,2,2,2,4,2,2,2,4,4,4,4,2,2,2,2,4,2,2,2,4,2,4,4,4,0,4,0,2,0,2,2,2,2,0,2,2,0,0,0,4,2,0,2,2,0,2,2,2,0,na,2,4,2,2,4,2,4,2,4,2,2,4,2,2,0,2,0,0,2,2,na,2,0,4,2,2,2,2,2,2,2,2,2,4,4,2,0,2,2,4,4,0,4,0,0,0,0,2,2
22,1,"Foreign Policy",2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,4,2,2,2,4,2,4,4,4,0,4,0,2,0,4,2,2,2,0,0,0,0,0,0,4,2,0,2,0,0,2,2,2,0,2,0,4,2,2,4,4,4,2,4,2,2,4,2,4,0,2,0,0,0,2,4,2,0,4,2,2,2,2,2,2,4,2,2,4,4,4,0,2,2,4,2,0,4,0,0,0,0,2,2
23,1,Academia,3,3,0,4,4,4,4,4,4,4,4,4,3,3,4,3,4,1,4,3,2,3,4,4,4,4,2,1,1,4,1,3,3,3,4,0,3,2,4,0,0,3,4,3,4,0,3,3,3,2,2,3,4,1,2,1,4,3,4,0,3,4,1,3,4,4,1,4,1,3,1,3,4,3,4,2,0,1,1,4,3,4,4,4,4,1,1,1,1,4,1,2,1,4,3,4,4,4,4,1,1
24,1,Academia,4,2,4,4,4,4,4,4,3,3,4,4,4,1,3,3,4,3,4,4,2,3,4,1,1,3,4,1,1,3,3,4,1,3,4,0,0,1,3,1,2,3,3,3,4,3,4,3,1,3,3,3,4,3,3,0,4,3,4,1,3,3,3,3,4,3,0,4,1,3,2,3,4,3,3,4,0,3,3,3,3,3,3,4,0,3,2,3,2,4,2,1,0,4,3,1,4,4,4,1,1
25,0,Academia,4,0,4,0,0,0,0,4,0,4,0,0,4,0,4,0,0,0,4,0,4,0,4,4,4,0,0,0,0,4,0,0,0,4,4,0,0,0,4,0,0,4,0,0,4,0,4,0,0,4,4,0,0,4,0,0,4,0,4,0,4,4,0,0,4,4,0,0,0,4,0,0,4,0,na,0,0,0,0,4,4,0,0,4,0,4,0,0,0,4,4,4,4,0,4,0,4,4,4,4,0
26,1,Academia,2,1,0,0,2,1,1,2,2,3,1,0,0,0,0,0,3,3,3,0,0,0,0,3,2,0,2,1,0,3,0,3,1,3,0,1,0,0,0,0,1,3,1,0,2,1,3,3,0,2,0,1,3,0,0,0,3,0,0,0,1,1,0,0,0,3,1,0,0,3,1,0,4,0,3,0,0,1,0,1,0,0,0,3,1,0,0,0,1,3,0,1,0,0,4,1,3,2,0,1,3
27,1,Academia,4,1,0,3,1,0,2,3,0,3,1,0,0,2,2,4,0,3,4,0,4,0,4,3,3,3,3,1,0,3,0,1,4,3,4,0,1,0,4,1,0,3,na,0,na,1,na,2,0,2,2,1,3,0,0,0,3,3,0,0,0,3,0,3,1,3,na,4,0,3,0,3,4,0,na,4,2,4,0,4,3,3,3,4,0,na,2,0,3,1,0,1,0,3,4,2,4,4,4,1,na
28,1,Academia,1,0,0,2,0,0,0,0,1,1,4,2,0,0,0,3,0,0,0,0,0,1,0,2,0,3,3,0,1,3,3,0,0,0,4,4,0,2,1,0,0,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,3,4,1,1,0,0,1,4,0,3,0,0,0,0,2,4,0,0,1,0,1,1,2,3,1,3,0,0,4,0,3,4,4,4,1,0
29,1,Academia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,4,1,1,4,4,4,1,2,1,0,3,0,1,0,4,2,0,0,3,4,0,1,0,na,na,na,0,na,2,2,2,1,0,1,3,0,0,4,3,1,1,1,4,0,3,3,2,4,na,1,3,2,1,4,0,1,1,0,0,3,4,3,3,2,4,4,1,0,0,0,1,2,2,3,4,4,4,2,na,1,1,1
30,1,Academia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,4,3,4,3,0,0
31,1,Academia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,3,0,0,0,0
32,0,Academia,4,0,4,0,0,4,0,0,0,0,4,0,0,4,0,4,4,0,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,4,0,0,na,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,4,4,0,4,0,na,0
33,1,Academia,0,0,3,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,1,0,0,0,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,3,3,0,0,0,2,0,0,1,0,na,0,0,0,0,0,0,na,3,0,0,0,0,1,1,1,1,3,4,3,1,3,1,1,0,0
34,1,"Domestic Politics",4,0,2,2,3,2,3,0,1,1,4,3,4,0,4,4,4,2,4,4,4,0,0,0,3,2,1,0,0,3,3,0,1,4,2,3,1,0,4,0,1,4,0,1,4,0,1,3,3,2,2,1,1,0,0,0,4,0,0,0,3,3,0,0,1,0,2,3,2,0,1,3,4,4,4,4,na,4,3,4,3,0,4,0,3,1,4,0,0,3,3,0,0,4,4,4,4,4,3,1,0
35,1,"Domestic Politics",4,2,2,2,4,2,3,4,4,2,0,4,3,4,4,3,4,4,4,4,1,1,1,1,3,2,1,1,1,4,2,4,4,2,2,3,4,2,4,2,1,4,2,1,2,1,2,3,3,2,2,4,4,3,1,0,4,0,2,1,3,3,3,3,1,0,1,4,1,4,3,4,4,4,4,4,0,1,3,4,4,3,3,4,3,2,4,1,2,3,1,1,0,4,4,2,4,4,4,2,1
36,1,"Domestic Politics",0,3,0,0,0,3,0,0,0,0,1,0,0,0,3,4,0,0,4,0,1,4,0,3,4,2,0,1,0,2,0,0,0,na,0,0,0,0,0,1,0,0,na,0,na,na,1,2,3,1,0,0,3,4,3,0,4,2,0,0,3,3,0,0,0,3,4,1,1,3,1,3,3,0,0,4,na,0,1,4,0,0,3,1,4,na,4,3,0,3,0,2,0,0,4,1,3,0,3,0,0
37,1,"Domestic Politics",4,0,0,0,0,4,4,0,0,3,0,3,4,0,4,0,4,3,2,1,3,4,4,4,0,2,2,0,0,2,1,0,4,4,1,0,0,0,2,1,0,2,4,1,4,1,0,1,4,2,0,0,3,4,0,0,4,4,4,0,0,3,0,3,4,4,3,4,0,0,0,3,0,4,1,4,4,3,3,3,1,0,4,1,1,2,4,0,0,3,1,2,0,3,4,3,4,3,3,1,0
38,1,"Domestic Politics",4,2,0,1,4,4,3,3,0,0,0,4,0,3,3,3,1,4,4,0,0,3,1,3,3,1,2,1,0,3,1,0,1,1,0,0,0,0,2,0,0,4,3,1,4,0,1,1,3,0,0,0,1,3,3,0,4,4,1,0,3,3,1,2,4,4,na,na,1,0,1,3,3,4,2,4,0,0,1,4,0,0,4,1,na,2,4,3,2,3,3,1,0,0,4,0,3,3,0,1,1
39,1,"Domestic Politics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,4,na,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,3,3,0,0
40,1,"Domestic Politics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,0,0,0,na,0,0,3,4,0,4,0,0,0,0,3,0,0,0,0,0,2,0,3,0,0,4,na,3,4,4,3,0,0
41,1,"Domestic Politics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,4,na,3,3,0,1,1,0,0,3,0,0,0,0,0,0,3,1,1,0,0,0,4,0,1,0,0,4,0,2,4,4,4,0,0
42,1,"Domestic Politics",4,0,3,2,2,4,3,4,0,4,4,4,3,4,4,4,0,3,4,1,0,4,3,4,3,2,3,1,3,3,0,1,1,3,3,0,0,0,1,0,0,3,0,0,4,0,1,1,3,2,0,0,0,4,3,0,4,4,1,1,0,3,0,3,3,3,4,0,0,3,1,0,4,3,3,4,3,0,3,na,0,0,3,1,0,2,0,1,0,4,0,2,4,4,1,0,0,3,3,1,1
43,1,"Domestic Politics",3,0,0,0,0,1,3,3,0,0,0,0,0,0,3,0,3,0,3,4,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,3,0,1,0,na,0,4,0,0,0,0,0,0,3,1,3,3,2,0,0,0,0,3,4,4,na,na,0,0,0,0,0,0,3,3,0,1,3,2,0,0,4,4,4,3,4,3,1,3
44,1,"Domestic Politics",3,0,0,0,3,0,0,0,0,0,0,0,3,0,na,3,0,4,0,0,0,3,0,0,0,4,2,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,na,na,na,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,na,0,0,4,na,0,0,0,0,0,1,0,0,0,2,0,0,0,3,3,0,1,0,0,0,0
45,0,Economy,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,4,4,4,0,4,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,4,4,4,4,0,0,0,4,0,4,4,0,4,4,4,0,4,0,4,4,4,0,0,4,4,4,4,4,4,0,4,0,4,0,4,0,0
46,0,Economy,0,0,0,0,0,0,4,4,0,0,na,0,0,0,0,4,0,4,0,4,na,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,4,4,0,0,na,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,4,0,4,0,4,0,0,0,0,4,0,0,0,na,0,4
47,0,Economy,0,0,4,0,0,4,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,4,0,0,4,0,0,4,0,0,0,4,4,4,4,0,4,4,4,0,0,0,4,0,4,0,0,4,0,4,4,4,4,0,0,0,0,0,4,0,0
48,0,Economy,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4,0,4,4,4,0,4,4,4,0,0,4,4,0,4,0,0,0,4,0,4,0,0,0,4,4,0,4,4,0,4,0,4,0,0,4,4,0,4,0,4,0,4,0,4,0,4,4,4,4,4,4,0,4,4,4,0,0,0,4,4,4,4,4,4,4,0,4,4,4,4,0,0,0,0,4,0,4,0,0,4,4,4,4,4,4,4
49,0,Economy,4,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,0,0,4,4,0,4,4,4,0,0,4,4,4,0,0,4,4,4,4,0,0,4,4,0,4,4,4,4,0,4,4,0,4,0,4,0,4,4,0,4,4,4,4,4,4,4,0,4,0,0,4,4,4,4,4,0,0,4,4,4,4,0,4,4,4,0,0,0,0,4,4,4,4,4,4,0,4,4,4,4,4
50,0,Economy,4,0,4,4,4,0,4,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,4,0,4,0,0,0,0,0,0,4,4,0,4,4,0,4,4,0,0,0,4,0,0,0,0,4,4,0,0,4,4,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,4,0,0,0,0,0,0,4,4,4,0,na,0,4,0,4,0,0
51,0,Economy,0,0,0,0,4,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,na,0,4,0,0,4,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,4,4,4,0,0,0,4,0,4,4,0,na,4,0,0,0,0,0,4,4,0,4,0,4,0,4,4,0,0,0,4,4,4,4,0,0
52,0,Economy,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,4,0,0,4,0,0
53,0,Economy,4,4,4,0,4,0,4,4,0,0,4,4,0,0,0,4,4,0,4,4,0,4,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,0,0,4,4,0,4,0,0,0,0,4,4,4,4,4,0,4,4,4,4,4,0,4,4,0,0,4,0,0
54,0,Economy,4,0,0,4,4,4,4,4,4,4,4,0,4,0,4,0,4,4,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,na,4,4,4,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,4,4,4,4,4,4,0,4,4,4,0,0,4,0,0,0,0,4,4
55,0,Economy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,Technology,0,0,0,0,4,0,4,4,0,4,4,0,0,4,4,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,na,0,0,4,0,0,4,4,4,0,4,4,0,0,4,4,0,4,0,0,0,0,4,4,0,4,0,4,4,4,0,0,4,4,4,0,4,0,4,4,0,4,0,4,4,4,0,4,4,0,0
57,1,Technology,4,0,2,4,4,4,4,4,3,4,3,3,3,1,0,3,3,4,3,0,4,3,3,4,4,3,4,3,3,3,4,3,0,3,4,0,3,2,4,0,0,1,1,0,4,na,3,4,0,0,2,4,1,3,3,3,4,3,3,0,4,3,3,3,3,2,0,4,4,2,4,3,4,1,0,4,3,3,2,4,4,0,3,3,4,3,4,3,3,4,1,2,1,3,4,0,4,4,3,0,0
58,1,Technology,3,0,3,4,4,4,2,4,1,4,2,4,4,1,na,3,4,3,3,1,4,3,4,3,4,2,3,3,0,4,na,3,0,na,0,0,0,2,4,0,0,3,3,na,4,na,3,4,4,1,2,3,1,0,3,3,4,3,3,0,3,4,3,3,3,3,0,3,4,3,0,0,4,0,0,2,3,3,0,3,4,0,3,3,na,4,4,3,0,4,0,1,1,0,3,0,4,0,na,0,0
59,0,Technology,4,0,0,4,4,4,4,4,0,4,4,4,0,4,4,4,4,0,4,4,0,4,4,4,4,4,na,4,4,4,4,4,0,4,4,4,0,4,4,0,0,4,4,0,4,4,0,4,4,0,4,4,4,4,4,4,4,4,4,0,4,4,na,0,4,4,0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4
60,1,Technology,3,0,1,3,4,3,4,4,1,4,1,3,0,3,1,3,2,4,0,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,na,0,0,0,2,0,0,na,0,0,4,0,4,0,3,0,3,4,0,0,3,2,1,2,0,3,0,0,1,0,0,4,0,3,0,na,0,0,0,3,4,2,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0
61,1,Technology,0,0,1,2,3,4,3,0,0,4,1,4,1,0,3,3,0,0,1,0,3,0,4,3,0,3,4,1,0,2,1,0,0,1,0,0,0,0,1,0,0,3,0,0,na,0,0,1,1,1,1,3,1,0,0,0,4,0,3,0,3,3,3,0,3,3,0,2,0,0,0,0,0,0,0,4,0,3,0,0,2,0,1,3,3,0,1,0,0,3,0,1,3,0,1,0,1,0,3,0,na
62,0,Technology,0,0,0,4,0,0,4,0,0,4,0,0,0,4,0,0,4,0,4,0,0,4,4,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,4,4,0,4,4,4,4,4,0,4,0,4,4,0,0,4,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,4,4,0,4,0,0,0,0,0,4
